policy,cycle,metric,value
P2,2,current_fact,1
P2,2,confabulation,0.5
P2,2,relationship,1
P2,2,reunion,1
P2,2,salience,1
P2,2,overall,0.9
P2,2,bytes,3077
P2,2,noiseCount,2
P2,3,current_fact,0.75
P2,3,confabulation,0.3333333333333333
P2,3,relationship,1
P2,3,reunion,1
P2,3,salience,1
P2,3,overall,0.8166666666666667
P2,3,bytes,3864
P2,3,noiseCount,2
P2,4,current_fact,0.75
P2,4,confabulation,0.3333333333333333
P2,4,relationship,1
P2,4,reunion,1
P2,4,salience,1
P2,4,overall,0.8166666666666667
P2,4,bytes,4937
P2,4,noiseCount,2
P2,5,current_fact,1
P2,5,confabulation,0.6666666666666666
P2,5,relationship,1
P2,5,reunion,1
P2,5,salience,1
P2,5,overall,0.9333333333333332
P2,5,bytes,6038
P2,5,noiseCount,2
P2,6,current_fact,0.8
P2,6,confabulation,0.75
P2,6,relationship,1
P2,6,reunion,1
P2,6,salience,1
P2,6,overall,0.9099999999999999
P2,6,bytes,8290
P2,6,noiseCount,2
P2,7,current_fact,1
P2,7,supersession,1
P2,7,lineage,1
P2,7,confabulation,0.5
P2,7,relationship,1
P2,7,reunion,1
P2,7,salience,1
P2,7,overall,0.9285714285714286
P2,7,bytes,10114
P2,7,noiseCount,2
P2,8,current_fact,1
P2,8,supersession,1
P2,8,lineage,1
P2,8,confabulation,0.75
P2,8,relationship,1
P2,8,reunion,1
P2,8,salience,1
P2,8,overall,0.9642857142857143
P2,8,bytes,8726
P2,8,noiseCount,2
P2,9,current_fact,1
P2,9,supersession,1
P2,9,lineage,1
P2,9,confabulation,0.5
P2,9,relationship,1
P2,9,reunion,1
P2,9,salience,1
P2,9,overall,0.9285714285714286
P2,9,bytes,9630
P2,9,noiseCount,2
P2,10,current_fact,1
P2,10,supersession,1
P2,10,lineage,1
P2,10,confabulation,0.5
P2,10,relationship,1
P2,10,reunion,1
P2,10,salience,1
P2,10,overall,0.9285714285714286
P2,10,bytes,11619
P2,10,noiseCount,4
P2,11,current_fact,0.8
P2,11,supersession,1
P2,11,lineage,1
P2,11,confabulation,0.5
P2,11,relationship,1
P2,11,reunion,1
P2,11,salience,1
P2,11,overall,0.9
P2,11,bytes,13348
P2,11,noiseCount,4
P2,12,current_fact,1
P2,12,supersession,1
P2,12,lineage,1
P2,12,confabulation,0.5
P2,12,relationship,1
P2,12,reunion,1
P2,12,salience,1
P2,12,overall,0.9285714285714286
P2,12,bytes,9298
P2,12,noiseCount,3
